id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
600810740116,1,23/11/1961,61,5,2,14,0,6,2280.66,114.03,182.45,296.48001,201511,201605,354,2008.6
600835120116,1,19/06/1967,56,5,1,14,1,6,1486.11,,118.89,118.89,201406,202306,546,67303.36000000003
600848180116,1,28/03/1966,57,5,2,14,1,6,8047.46,,643.8,643.79999,201811,202306,565,61782.63
601011920141,1,18/01/1981,42,3,,13,0,6,794.5700000000001,42.5,68,110.5,201611,201701,9,751.5599999999999
601272210141,1,26/02/1980,43,3,1,10,0,,,,,,202010,202108,24,7237.06
601400940170,1,27/02/1989,34,2,1,2,0,,,,,,201505,202204,9,513.0599999999999
601840500141,1,30/06/1981,42,3,2,14,0,6,7028.22,,562.26,562.26001,201404,202301,368,22819.07999999999
601856250180,1,01/11/1978,44,3,1,24,0,,,,,,202005,202007,54,1940.22
601936550141,1,08/03/1981,42,3,1,2,0,,,,,,201804,202011,74,6335.74
602391780172,1,22/04/1994,29,2,1,13,1,,4987.96,,399.04,399.04001,201506,202306,130,51302.8
602500070118,1,03/12/1951,71,6,2,12,0,6,819.16,42.5,68,110.5,201706,201707,214,110.5
602587510141,1,04/11/1978,44,3,1,24,1,2,190.57,,82,82,201404,202306,257,31557.56
602599720143,1,05/04/1985,38,3,1,19,0,,613.38,37.5,60,97.5,201402,201404,87,559.6999999999999
602647760140,1,30/12/1978,44,3,1,2,0,,,,,,202101,202105,3,187.3
602659260118,1,02/11/1972,50,4,2,12,0,2,11859.03,592.95,948.72,1541.67,202005,202207,235,18320.43
602687180143,1,20/05/1985,38,3,1,19,0,,,,,,201504,201807,25,3002.66
602896290144,1,20/01/1987,36,3,1,19,0,6,6169.37,308.47,493.55,802.02002,201406,201706,35,5140.440000000001
603142480140,1,18/12/1978,44,3,1,2,1,,2987.39,,238.99,238.99001,201511,202306,321,58799.40000000001
60344996970713,1,08/12/1962,60,5,,14,0,,,,,,202202,202202,0,
603853830141,1,11/11/1979,43,3,1,19,1,,,,,,201707,202306,16,812.7800000000001
604131010140,1,12/10/1978,44,3,2,2,1,6,2360.75,,188.86,188.86,201405,202306,450,90259.14000000004
604179550145,1,28/08/1986,36,3,1,2,1,6,1729.75,,138.38,138.38,201405,202306,193,52192.45000000001
604456140140,1,13/08/1978,44,3,,19,0,6,3819.92,191,305.59,496.59,201406,201506,16,2642.48
60465749540713,1,10/08/1967,55,5,,14,0,,,,,,201512,201602,4,1410.87
605552450106,1,10/03/1959,64,5,2,14,0,,,,,,201904,201905,487,411.33
